1,E,1,I,Md.198,2354,Md.650,2356,Old Columbia Pk,40,|,38.6,,A,288,,0,,288,,38.6,0,41,,14%,,|,38.6,,A,288,,0,,288,,38.6,0,41,,14%,,,,
1,W,1,I,Md.198,2356,Old Columbia Pk,2354,Md.650,40,|,37.6,,A,296,,0,,296,,37.6,4,44,,16%,,|,37.1,,A,300,,0,,300,,37.1,0,52,,17%,,,,
1,W,2,S,Md.198,2357,U.S.29,2356,Old Columbia Pk,30,|,28.3,,B,44,,0,,44,,28.3,0,8,,18%,,|,28.3,,B,44,,0,,44,,28.3,0,8,,18%,,,,
1,E,1,S,Md.198,2357,U.S.29,4724,Old Gunp.Rd.,45,|,35.6,,A,166,,19,,147,,40.2,22,26,,29%,,|,40.2,,A,147,,0,,147,,40.2,0,29,,20%,,,,
1,N,1,S,Md.27,2408,Brink Rd.,1926,Marlboro/Sweeps,40,|,44.9,,A,305,,0,,305,,44.9,0,1,,0%,,|,41.9,,A,327,,3,,324,,42.3,7,16,,7%,,,,
1,N,2,I,Md.27,1783,Bethesda Church,1736,Md.108,30,|,29.1,,A,41,,0,,41,,29.1,0,7,,17%,,|,29.1,,A,41,,0,,41,,29.1,0,7,,17%,,,,
1,S,2,I,Md.27,1736,Md.108,1783,Bethesda Church,30,|,17.3,,C,65,,23,,42,,26.7,27,6,,51%,,|,26.1,,A,43,,0,,43,,26.1,1,10,,26%,,,,
1,S,1,S,Md.27,1926,Marlboro/Sweeps,2408,Brink Rd.,40,|,43.2,,A,317,,0,,317,,43.2,0,12,,4%,,|,40.2,,A,341,,8,,333,,41.2,11,25,,11%,,,,
1,S,1,S,Md.27,1783,Bethesda Church,1926,Marlboro/Sweeps,40,|,41.2,,A,149,,0,,149,,41.2,0,13,,9%,,|,37.9,,A,162,,0,,162,,37.9,4,22,,16%,,,,
1,N,1,S,Md.27,1926,Marlboro/Sweeps,1783,Bethesda Church,40,|,41.5,,A,147,,0,,147,,41.5,0,11,,7%,,|,39.4,,A,155,,0,,155,,39.4,0,19,,12%,,,,
1,N,1,S,Md.355,1718,Md.121,1798,Md.109,50,|,43.2,,A,293,,0,,293,,43.2,0,63,,22%,,|,38.1,,A,332,,0,,332,,38.1,0,102,,31%,,,,
1,S,1,S,Md.355,1723,Old Baltimore,1724,Brink Rd.,40,|,14,,E,269,,133,,136,,27.7,174,11,,69%,,|,40.5,,A,93,,0,,93,,40.5,0,9,,10%,,,,
1,S,1,S,Md.355,1798,Md.109,1718,Md.121,50,|,42,,A,301,,26,,275,,46,32,39,,24%,,|,42.9,,A,295,,6,,289,,43.8,16,49,,22%,,,,
1,N,1,S,Md.355,1724,Brink Rd.,1723,Old Baltimore,40,|,43.8,,A,16,,0,,16,,43.8,0,0,,0%,,|,43.8,,A,16,,0,,16,,43.8,0,0,,0%,,,,
1,S,1,S,Md.355,1718,Md.121,1723,Old Baltimore,40,|,45.2,,A,184,,0,,184,,45.2,0,0,,0%,,|,41.2,,A,202,,0,,202,,41.2,0,17,,8%,,,,
1,N,1,S,Md.355,1723,Old Baltimore,1718,Md.121,40,|,46.3,,A,179,,0,,179,,46.3,0,0,,0%,,|,37.9,,A,219,,0,,219,,37.9,0,35,,16%,,,,
1,N,1,S,Md.650,2354,Md.198,2355,Ednor Rd.,50,|,37.1,,A,94,,0,,94,,37.1,0,31,,33%,,|,26.4,,C,132,,26,,106,,32.9,37,32,,52%,,,,
1,N,1,S,Md.650,2360,Md.108,1510,Brighton Dam Rd,40,|,37.8,,A,314,,0,,314,,37.8,0,50,,16%,,|,36.9,,A,321,,0,,321,,36.9,0,57,,18%,,,,
1,S,1,S,Md.650,1510,Brighton Dam Rd,2360,Md.108,40,|,39.6,,A,299,,0,,299,,39.6,0,36,,12%,,|,31.8,,B,372,,51,,321,,36.9,56,53,,29%,,,,
1,N,1,I,Md.650,2355,Ednor Rd.,2360,Md.108,40,|,40.8,,A,120,,0,,120,,40.8,3,8,,9%,,|,26.2,,B,187,,52,,135,,36.3,57,21,,42%,,,,
1,N,1,S,Md.650,2354,Md.198,2355,Ednor Rd.,50,|,43.6,,A,82,,0,,82,,43.6,1,16,,21%,,|,31.9,,B,112,,15,,97,,36.8,20,27,,42%,,,,
1,N,1,S,Md.650,1521,Sundown Rd.,2410,Md.108,40,|,38.6,,A,421,,0,,421,,38.6,0,60,,14%,,|,37.2,,A,436,,0,,436,,37.2,6,69,,17%,,,,
1,S,1,S,Md.650,2410,Md.108,1521,Sundown Rd.,40,|,38.7,,A,419,,0,,419,,38.7,1,58,,14%,,|,38.8,,A,418,,0,,418,,38.8,0,58,,14%,,,,
1,N,1,S,Md.650,1510,Brighton Dam Rd,1520,Md.97,40,|,37.4,,A,279,,0,,279,,37.4,3,44,,17%,,|,34.7,,B,301,,19,,282,,37,24,45,,23%,,,,
1,S,2,S,Md.650,1521,Sundown Rd.,1520,Md.97,30,|,24.3,,B,93,,18,,75,,30.1,23,6,,31%,,|,31.8,,A,71,,0,,71,,31.8,0,7,,10%,,,,
1,S,1,S,Md.650,1520,Md.97,1510,Brighton Dam Rd,40,|,37.9,,A,277,,0,,277,,37.9,0,44,,16%,,|,37.8,,A,278,,0,,278,,37.8,0,45,,16%,,,,
1,S,1,S,Md.650,2355,Ednor Rd.,2354,Md.198,50,|,42.5,,A,84,,0,,84,,42.5,0,19,,23%,,|,36,,A,99,,0,,99,,36,0,34,,34%,,,,
1,S,1,I,Md.650,2360,Md.108,2355,Ednor Rd.,40,|,33.4,,A,147,,3,,144,,34.1,13,25,,26%,,|,32.3,,A,152,,0,,152,,32.3,6,37,,28%,,,,
1,S,1,S,Md.650,2355,Ednor Rd.,2354,Md.198,50,|,38.4,,A,91,,3,,88,,39.7,5,22,,30%,,|,41.1,,A,85,,0,,85,,41.1,0,21,,25%,,,,
1,N,2,S,Md.650,1520,Md.97,1521,Sundown Rd.,30,|,28.1,,B,82,,0,,82,,28.1,0,16,,20%,,|,29.9,,B,77,,0,,77,,29.9,0,11,,14%,,,,
1,N,1,S,Md.97,2362,Md.108,1520,Md.650,40,|,38.5,,A,465,,0,,465,,38.5,5,62,,14%,,|,37.6,,A,476,,0,,476,,37.6,13,65,,16%,,,,
1,S,1,S,Md.97,1520,Md.650,2362,Md.108,40,|,35,,A,512,,29,,483,,37.1,35,79,,22%,,|,37,,A,484,,0,,484,,37,0,86,,18%,,,,
1,S,1,S,Md.97,9997,Mt. Carmel Cemt,1520,Md.650,40,|,18.9,,D,101,,34,,67,,28.4,49,10,,58%,,|,19.6,,D,97,,28,,69,,27.6,45,10,,57%,,,,
1,N,1,S,Md.97,1520,Md.650,9997,Mt. Carmel Cemt,40,|,36.4,,A,54,,0,,54,,36.4,3,7,,19%,,|,35.1,,A,56,,0,,56,,35.1,3,9,,21%,,,,
1,N,1,S,Norwood ,1507,Md.182,1506,Md.108,35,|,31.9,,B,90,,0,,90,,31.9,0,18,,20%,,|,29.6,,B,97,,3,,94,,30.5,6,19,,26%,,,,
1,S,1,S,Norwood Rd.,1506,Md.108,1507,Md.182,35,|,30.1,,B,96,,0,,96,,30.1,4,20,,25%,,|,32.5,,B,89,,0,,89,,32.5,2,15,,19%,,,,
1,S,2,S,Piney Mtg,1654,Travilah Rd.,1627,Glen Rd.,30,|,35,,A,96,,0,,96,,35,4,0,,4%,,|,36.5,,A,92,,0,,92,,36.5,0,0,,0%,,,,
1,N,2,S,Piney Mtg,2325,Md.190,1627,Glen Rd.,30,|,32.9,,A,129,,3,,126,,33.7,13,0,,10%,,|,36.9,,A,115,,0,,115,,36.9,4,0,,3%,,,,
1,N,2,S,Piney Mtg,1627,Glen Rd.,1654,Travilah Rd.,30,|,30.5,,A,332,,2,,330,,30.7,12,31,,13%,,|,33,,A,307,,0,,307,,33,1,17,,6%,,,,
1,S,2,S,Piney Mtg,1627,Glen Rd.,2325,Md.190,30,|,34,,A,296,,0,,296,,34,7,1,,3%,,|,32.7,,A,308,,0,,308,,32.7,0,20,,6%,,,,
2,E,1,I,Bonifant,2349,Layhill Rd.,2350,Md.650,35,|,31.4,,A,279,,27,,252,,34.7,50,10,,22%,,|,33.6,,A,261,,27,,234,,37.4,36,6,,16%,,,,
2,W,1,I,Bonifant,2350,Md.650,2349,Layhill Rd.,35,|,42.3,,A,206,,0,,206,,42.3,0,0,,0%,,|,34.4,,A,253,,22,,231,,37.7,39,0,,15%,,,,
2,W,1,I,Democracy,3178,Ramp to I-270SB,1607,Westlake Dr.,45,|,12.3,,E,97,,45,,52,,23,56,17,,75%,,|,46,,A,26,,0,,26,,46,0,2,,8%,,,,
2,W,1,I,Democracy,2246,Seven Locks Rd.,2244,Md.189,45,|,32.8,,A,253,,23,,230,,36.1,29,58,,34%,,|,31.3,,A,265,,30,,235,,35.4,41,58,,37%,,,,
2,E,1,I,Democracy,2244,Md.189,2246,Seven Locks Rd.,45,|,21.7,,C,109,,33,,76,,31.1,48,14,,57%,,|,34.8,,A,68,,0,,68,,34.8,0,21,,31%,,,,
2,E,1,I,Democracy,2246,Seven Locks Rd.,1607,Westlake Dr.,45,|,34.6,,A,31,,0,,31,,34.6,0,10,,32%,,|,13.3,,E,81,,29,,52,,20.7,49,11,,74%,,,,
2,E,1,I,Democracy,1607,Westlake Dr.,3178,Ramp to I-270SB,45,|,14.6,,D,166,,73,,93,,26.1,95,22,,70%,,|,24.5,,B,99,,19,,80,,30.3,37,13,,51%,,,,
2,W,1,I,Democracy,1607,Westlake Dr.,2246,Seven Locks Rd.,45,|,19.9,,C,118,,48,,70,,33.6,55,16,,60%,,|,39.2,,A,60,,0,,60,,39.2,0,13,,22%,,,,
2,W,2,I,Emory Grove,7015,Md.124,1759,Goshen Rd.,35,|,32.5,,A,137,,0,,137,,32.5,4,22,,19%,,|,28.7,,A,155,,29,,126,,35.3,35,9,,28%,,,,
2,W,3,I,Flower Hill,7004,Md.124,7005,Md.124,25,|,21.2,,B,54,,4,,50,,23,12,4,,30%,,|,26.7,,A,43,,0,,43,,26.7,4,1,,12%,,,,
2,S,2,I,Goshen,1759,Emory Grove Rd.,2370,Midcounty Hwy.,35,|,10.3,,D,51,,18,,33,,15.9,30,8,,75%,,|,26.2,,A,20,,0,,20,,26.3,0,7,,35%,,,,
2,W,1,S,Great Sen,2424,Md.117,2421,Middlebrook Rd.,50,|,46.9,,A,108,,0,,108,,46.9,0,16,,15%,,|,44.9,,A,113,,0,,113,,44.9,0,21,,19%,,,,
2,W,1,S,Great Sen,1680,Longdraft Rd.,2424,Md.117,50,|,57.7,,A,180,,0,,180,,57.7,0,0,,0%,,|,53.5,,A,194,,0,,194,,53.5,0,5,,3%,,,,
2,E,1,S,Great Seneca,2424,Md.117,1680,Longdraft Rd.,55,|,51.1,,A,205,,2,,203,,51.6,8,22,,15%,,|,33.3,,B,315,,93,,222,,47.2,117,23,,44%,,,,
2,E,1,S,Great Seneca,2421,Middlebrook,2424,Md.117,50,|,26,,C,194,,67,,127,,39.7,85,17,,53%,,|,38.2,,A,132,,12,,120,,42,18,22,,30%,,,,
2,E,1,I,Gude Dr.,1963,Shady Grove Rd.,1653,Research Blvd.,40,|,40.3,,A,50,,0,,50,,40.4,0,5,,10%,,|,43.9,,A,46,,0,,46,,43.9,0,1,,2%,,,,
2,W,1,I,Gude Dr.,1653,Research Blvd.,1963,Shady Grove Rd.,40,|,31.1,,A,63,,0,,63,,31.1,7,12,,30%,,|,19.8,,C,99,,50,,49,,40,54,1,,56%,,,,
2,N,F,,I-270,3485,I-270 CD(end),2274,Middlebrook Rd.,55,|,61.7,,B,93,,0,,93,,61.7,0,0,,0%,,|,50.8,,B,113,,0,,113,,50.8,0,17,,15%,,,,
2,S,F,,I-270,2274,Middlebrook Rd.,2385,Md.124(N),55,|,57.1,,B,111,,0,,111,,57.1,0,5,,5%,,|,52.9,,B,120,,0,,120,,52.9,0,14,,12%,,,,
2,S,F,,I-270,3359,Md.118(N),2280,Md.118(S),55,|,56.8,,B,27,,0,,27,,56.8,0,1,,4%,,|,54.7,,B,28,,0,,28,,54.7,0,2,,7%,,,,
2,S,F,,I-270,2280,Md.118(S),2274,Middlebrook Rd.,55,|,56.4,,B,45,,0,,45,,56.4,0,3,,7%,,|,52.9,,B,48,,0,,48,,52.9,0,6,,13%,,,,
2,N,F,,I-270,2280,Md.118(S),3359,Md.118(N),55,|,60,,B,32,,0,,32,,60,0,0,,0%,,|,24,,F,80,,0,,80,,24,0,48,,60%,,,,
2,N,F,,I-270,2274,Middlebrook Rd.,2280,Md.118(S),55,|,59.3,,B,41,,0,,41,,59.3,0,0,,0%,,|,32.4,,E,75,,0,,75,,32.4,0,34,,45%,,,,
2,W,1,I,Key W.Ave,1961,Great Seneca Hy,2395,Md.28,40,|,19,,C,83,,14,,69,,22.9,40,8,,58%,,|,26.8,,B,59,,7,,52,,30.4,16,8,,41%,,,,
2,E,1,I,Key W.Ave,1961,Great Seneca,1963,Shady Grove Rd.,40,|,34.2,,A,93,,5,,88,,36.1,12,10,,24%,,|,22.4,,C,142,,27,,115,,27.6,60,11,,50%,,,,
2,E,1,I,Key W.Ave,2395,Md.28,1961,Great Seneca Hy,40,|,13.7,,E,107,,61,,46,,31.9,66,8,,69%,,|,34.9,,A,42,,0,,42,,34.9,0,9,,21%,,,,
2,W,1,I,Key W.Ave.,1963,Shady Grove Rd.,1961,Great Seneca Hy,40,|,31.9,,A,100,,2,,98,,32.6,11,18,,29%,,|,38,,A,84,,0,,84,,38,0,13,,15%,,,,
2,W,2,I,Md.108,1515,Prince Phillip,2362,Md.97,30,|,15.9,,C,119,,32,,87,,21.8,43,22,,55%,,|,26.7,,A,71,,0,,71,,26.7,0,17,,24%,,,,
2,E,1,S,Md.108,2364,Muncaster Rd.,3020,Zion Rd.,50,|,43,,A,67,,0,,67,,43,0,15,,22%,,|,43.7,,A,66,,0,,66,,43.7,0,14,,21%,,,,
2,E,2,I,Md.108,2362,Md.97,1515,Prince Phillip,30,|,15.6,,C,125,,35,,90,,21.6,49,20,,55%,,|,19.7,,B,99,,9,,90,,21.6,30,13,,43%,,,,
2,E,1,I,Md.108,1515,Prince Phillip,2361,Md.182,40,|,29.3,,B,106,,11,,95,,32.7,17,20,,35%,,|,29,,B,107,,3,,104,,29.9,14,24,,36%,,,,
2,W,1,S,Md.108,2363,Bowie Mill Rd.,1523,Olney Mill Rd.,40,|,31.9,,B,41,,0,,41,,31.9,0,12,,29%,,|,34.4,,B,38,,0,,38,,34.4,0,9,,24%,,,,
