LINKID,LENGTH,ROUTETYP,AREACODE,LANES,VDF,LINKFLOW,SPEED,LANEFLOW,DELAY,SPEEDFF,LLENGTH,LSPEED,LSPEEDFF,LLANES,LLANEFLO,LDELAY,VCR,VCR2,VCR3,VCR4,INBELT,RURAL,LOSTSPD,VCR5,VCR6,VCR7,LANES1,LANES2,LANES3,LANES4,TIMECONG,TIMEFF,LINKDEL,LINKDELRAT,ESTSPD,SQDERR,SQRTLEN,DELPMIL,RT4,RT3,RT2,ESTTIME,ACTTIME,ACTTIMFF,FLOWDEL,APPRDEL
15232363,0.37,2,49,1,17,921.69,26,921.69,0,48,-0.9942522733438669,3.258096538021482,3.871201010907891,0,6.826208941423566,,0.61446,0.3775610916,0.231996188344536,0.1425523778901836,0,0,22,0.08759273411840221,0.053822231406393424,0.0330716083099725,1,0,0,0,0.8538461538461538,0.46249999999999997,0.39134615384615384,0.8461538461538463,31.813309999999998,33.79457315609997,0.6082762530298219,0,0,0,1,0.6978211320984833,0.8538461538461538,0.46249999999999997,0.08860373545554878,0
15232364,1.95,2,48,1,17,139.74,41,139.74,0,43,0.6678293725756554,3.713572066704308,3.7612001156935624,0,4.939783553124305,,0.09316,0.0086787856,0.0008085156664960001,7.532131949076737e-05,0,0,2,7.016934123759888e-06,6.536975829694712e-07,6.089846682943595e-08,1,0,0,0,2.8536585365853657,2.7209302325581395,0.13272830402722624,0.04878048780487809,37.331900000000005,13.454957609999967,1.396424004376894,0,0,0,1,3.134048896520134,2.8536585365853657,2.7209302325581395,0.057804963648804275,0
15252363,0.15,2,49,1,17,701,18,701,0,47,-1.8971199848858813,2.8903717578961645,3.8501476017100584,0,6.55250788703459,,0.4673333333333333,0.21840044444444442,0.10206580770370369,0.047698754133530856,0,0,29,0.022291217765070086,0.01041742910220942,0.004868411867099203,1,0,0,0,0.5,0.19148936170212766,0.30851063829787234,1.6111111111111112,31.819200000000002,190.97028864000006,0.3872983346207417,0,0,0,1,0.28284809171820785,0.5,0.19148936170212766,0.028166333553818146,0
15442312,0.48,2,31,1,19,254.88,35,254.88,0,35,-0.7339691750802004,3.5553480614894135,3.4339872044851463,0,5.540792846161739,,0.16992,0.028872806399999996,0.004906067263487999,0.0008336389494118808,0,0,-4,0.00014165193028406676,2.4069495993868623e-05,4.089888759278156e-06,1,0,0,0,0.8228571428571427,0.8228571428571427,0,0,28.74364,39.14204044960001,0.6928203230275509,0,0,0,1,1.001960781585074,0.8228571428571427,0.8228571428571427,0.04270061418671389,0
15602411,0.79,2,43,1,17,241,44,241,0,49,-0.23572233352106983,3.784189633918261,3.8918202981106265,0,5.484796933490655,,0.16066666666666668,0.025813777777777783,0.0041474136296296305,0.000666351123160494,0,0,5,0.00010706041378778604,1.7201039815237624e-05,2.7636337303148454e-06,1,0,0,0,1.0772727272727274,0.9673469387755104,0.10992578849721701,0.11363636363636354,36.84392,51.209480966400044,0.8888194417315589,0,0,0,1,1.2865080588601867,1.0772727272727274,0.9673469387755104,0.040901188155756385,0
15612452,0.47,2,56,1,17,771.84,22,771.84,0,33,-0.7550225842780328,3.091042453358316,3.4965075614664802,0,6.648777274658712,,0.51456,0.26477199360000003,0.136241077026816,0.07010420859491845,0,0,11,0.03607282157460124,0.018561631069426814,0.009551072883084261,1,0,0,0,1.2818181818181817,0.8545454545454545,0.42727272727272725,0.5,25.10236,9.624637569600006,0.6855654600401044,0,0,0,1,1.1234003496085627,1.2818181818181817,0.8545454545454545,0.15021461215491472,0
15621643,0.15999999999999998,2,56,1,17,1061.76,22,1061.76,0,33,-1.8325814637483102,3.091042453358316,3.4965075614664802,0,6.967683187562025,,0.70784,0.5010374656000001,0.35465435965030406,0.25103854193487124,0,0,11,0.17769512152317926,0.12577971481896721,0.08903191333745776,1,0,0,0,0.4363636363636363,0.29090909090909084,0.14545454545454545,0.5,22.83188,0.6920243344000029,0.39999999999999997,0,0,0,1,0.42046471863026597,0.4363636363636363,0.29090909090909084,0.07957881183654064,0
15622452,1.26,2,56,1,17,269.76,41,269.76,0,46,0.23111172096338664,3.713572066704308,3.828641396489095,0,5.597532674813491,,0.17984,0.0323424256,0.005816461819904001,0.0010460324936915355,0,0,5,0.00018811848366548573,3.3831228102400956e-05,6.084208061935788e-06,1,0,0,0,1.84390243902439,1.643478260869565,0.20042417815482505,0.12195121951219523,36.399680000000004,21.162944102399965,1.1224972160321824,0,0,0,1,2.0769413357480064,1.84390243902439,1.643478260869565,0.07449788856513306,0
15631643,0.61,2,56,1,17,369.66,41,369.66,0,46,-0.4942963218147801,3.713572066704308,3.828641396489095,0,5.912583664254535,,0.24644000000000002,0.06073267360000001,0.014966960081984003,0.003688457642604138,0,0,5,0.0009089835014433639,0.00022400989409570262,5.520499830094496e-05,1,0,0,0,0.8926829268292683,0.7956521739130435,0.09703075291622476,0.12195121951219501,34.178979999999996,46.52631384040006,0.7810249675906654,0,0,0,1,1.070833594214924,0.8926829268292683,0.7956521739130435,0.055145182199576315,0
15631794,0.11000000000000001,2,61,1,17,627.21,21,627.21,0,35,-2.2072749131897207,3.044522437723423,3.5553480614894135,0,6.441281412786647,,0.41814,0.17484105960000002,0.07310804066114401,0.030569396122050757,0,0,14,0.012782287294474304,0.005344785609311485,0.0022348686546775046,1,0,0,0,0.31428571428571433,0.18857142857142858,0.12571428571428575,0.6666666666666667,25.902230000000003,24.03185897290003,0.33166247903554,0,0,0,1,0.2548043160762606,0.31428571428571433,0.18857142857142858,0.02761626954916757,0
15672368,0.3499999999999999,2,60,1,8,1681.02,47,1681.02,0,47,-1.0498221244986778,3.8501476017100584,3.7612001156935624,0,7.427156031017791,,1.12068,1.2559236623999999,1.4074885299784317,1.5773442457762286,0,0,-4,1.7676981493565036,1.9810239620208463,2.220093933757522,1,0,0,0,0.4468085106382978,0.4468085106382978,0,0,27.448700000000002,382.2533316899999,0.5916079783099616,0,0,0,1,0.7650635549224551,0.4468085106382978,0.4468085106382978,0.1799002925331642,0
15673469,0.59,2,60,1,8,450.46,22,450.46,1.35,32,-0.527632742082372,3.091042453358316,3.4657359027997265,0,6.110269282873232,0.30010459245033816,0.30030666666666667,0.09018409404444444,0.027082884668840294,0.008133170818617199,0,0,10,0.0024424454179695354,0.0007334826419857047,0.000220269727272587,1,0,0,0,1.6090909090909091,1.10625,0.5028409090909092,0.4545454545454546,20.52882,2.164370592400001,0.7681145747868608,2.288135593220339,0,0,1,1.7244050072045056,1.6090909090909091,1.10625,0.17110095660702163,0.38290855426891923
15762373,0.56,2,26,1,19,672,24,672,0.93,33,-0.579818495252942,3.1780538303479458,3.4965075614664802,0,6.51025834052315,-0.07257069283483537,0.448,0.20070400000000002,0.08991539200000001,0.040282095616000005,0,0,9,0.018046378835968,0.008084777718513665,0.003621980417894122,1,0,0,0,1.4000000000000001,1.0181818181818183,0.38181818181818183,0.375,21.718120000000003,5.206976334399989,0.7483314773547883,1.6607142857142856,0,0,1,1.5470952366042732,1.4000000000000001,1.0181818181818183,0.20799954068102244,0.2424814131289761
15792373,0.4,2,26,1,17,985.05,15,985.05,0.48,20,-0.916290731874155,2.70805020110221,2.995732273553991,0,6.892692401305092,-0.7339691750802004,0.6567,0.43125488999999995,0.28320508626299995,0.18598078014891206,0,0,5,0.12213357832379054,0.08020512088523324,0.05267070288533266,1,0,0,0,1.6,1.2,0.40000000000000013,0.3333333333333335,15.028590000000001,0.0008173881000000701,0.6324555320336759,1.2,0,0,1,1.596956201479979,1.6,1.2,0.39536655846174806,0.1944325424836908
15792427,0.97,2,26,1,19,1070.19,23,1070.19,0.26,23,-0.030459207484708574,3.1354942159291497,3.1354942159291497,0,6.975591481785707,-1.3470736479666092,0.71346,0.5090251715999999,0.3631690989297359,0.2591066253224094,0,0,0,0.18486221290252622,0.13189179441743634,0.09409951964506413,1,0,0,0,2.5304347826086953,2.5304347826086953,0,0,18.63229,19.07689064409999,0.9848857801796105,0.26804123711340205,0,0,1,3.1236096046165014,2.5304347826086953,2.5304347826086953,0.6990787311360966,0.17838614575578804
15822336,0.32,2,26,1,19,743.4,23,743.4,0.95,23,-1.1394342831883648,3.1354942159291497,3.1354942159291497,0,6.611234257863152,-0.05129329438755058,0.4956,0.24561935999999998,0.12172895481599999,0.060328870006809594,0,0,0,0.029898987975374835,0.014817938440595767,0.007343770291159262,1,0,0,0,0.8347826086956521,0.8347826086956521,0,0,15.48696,56.4457700416,0.565685424949238,2.96875,0,0,1,1.239752669342466,0.8347826086956521,0.8347826086956521,0.24073233365914548,0.26068019059560543
15822427,0.3400000000000001,2,26,1,17,978.12,15,978.12,0.48,20,-1.0788096613719298,2.70805020110221,2.995732273553991,0,6.885632361894366,-0.7339691750802004,0.65208,0.4252083264,0.277269845478912,0.18080212083988892,0,0,5,0.11789744695727476,0.07687856721189973,0.05013097610753557,1,0,0,0,1.3600000000000003,1.0200000000000002,0.3400000000000001,0.33333333333333326,14.90436,0.009147009599999905,0.5830951894845301,1.4117647058823526,0,0,1,1.36872700337351,1.3600000000000003,1.0200000000000002,0.3391790996602211,0.16786385119532743
16151620,0.43,2,21,1,19,426.3,27,426.3,0.16,33,-0.843970070294529,3.295836866004329,3.4965075614664802,0,6.055143323771165,-1.8325814637483102,0.2842,0.08076964,0.022954731688000003,0.006523734745729601,0,0,6,0.0018540454147363526,0.0005269197068680714,0.0001497505806919059,1,0,0,0,0.9555555555555556,0.7818181818181819,0.17373737373737375,0.22222222222222232,26.015019999999996,0.9701856004000073,0.6557438524302001,0.37209302325581395,0,0,1,0.9917347747570444,0.9555555555555556,0.7818181818181819,0.0753803848547866,0.025786097991416512
16152244,0.3499999999999999,2,21,1,19,749.18,21,749.18,0.12,31,-1.0498221244986778,3.044522437723423,3.4339872044851463,0,6.618979275072127,-2.120263536200091,0.4994533333333333,0.24945363217777775,0.12459044810329835,0.062227114606686035,0,0,10,0.031079539814024695,0.01552277975858068,0.007752904093022315,1,0,0,0,1,0.6774193548387095,0.32258064516129026,0.4761904761904763,23.33606,5.457176323599999,0.5916079783099616,0.3428571428571429,0,0,1,0.899894840860025,1,0.6774193548387095,0.12489968605592394,0.019646920122980305
